"group","id","rsp_column","weighted","jaccard","sorensen","frac_unique_1","frac_unique_2","jaccard_lwr","jaccard_upr","sorensen_lwr","sorensen_upr","frac_unique_1_lwr","frac_unique_1_upr","frac_unique_2_lwr","frac_unique_2_upr"
"weather","5181","rsp_weather",TRUE,0.518535872158925,0.682941880617828,0.396319421623398,0.213837537538289,0.0965244281300493,0.335256055773675,0.17605522530893,0.502159755827265,0.652747850658654,0.903243464011118,0.0110671803604023,0.154122620234752
"weather","5264","rsp_weather",TRUE,0.798065028868202,0.887693176893103,0.0962594549787586,0.127794240359059,0.426309924767582,0.763564674201743,0.597779942171066,0.865933283087932,0.114862440191388,0.565545991822486,0.0287301680392132,0.294416976669641
"weather","5268","rsp_weather",TRUE,0.513596379179365,0.678643773524121,0.369510135135135,0.265238533700414,0.344342706184398,0.616389528665753,0.512284113875733,0.762674488373599,0.202912183582547,0.417866232325946,0.155414245873892,0.612400221761553
"weather","5270","rsp_weather",TRUE,0.5587742561293,0.716940575496584,0.371473851030111,0.165698724480995,0.099560005990645,0.353991914569517,0.181090626575227,0.522886210288787,0.62205032294064,0.8996881951208,0.0126919091615578,0.16581104037472
"weather","5277","rsp_weather",TRUE,0.5222851398084,0.686185690381418,0.426168802434109,0.146750524109015,0.120820687419619,0.507652763326632,0.215593243303324,0.673434571519514,0.31827933046683,0.877739695118981,0.0283168238993711,0.566498855887702
"weather","5278","rsp_weather",TRUE,0.673558477054974,0.804941669251093,0.176138369219908,0.213128807790998,0.281925384916172,0.590442578294216,0.439846786245563,0.742488293698806,0.316700528452244,0.711711546727178,0.0465846612767891,0.248943915500348
"weather","5282","rsp_weather",TRUE,0.518240708562849,0.68268582924958,0.394583333333333,0.217435705122054,0.242006403037439,0.494957619816786,0.3897023357012,0.662169433104796,0.380368098159509,0.751674698647286,0.0814064322049652,0.43175069485233
"weather","5284","rsp_weather",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"weather","5285","rsp_weather",TRUE,0.688658078242797,0.815627612381316,0.161722791090468,0.205830235395088,0.303836965428857,0.624101238246241,0.466065885365221,0.768549490540984,0.258718899971354,0.691988326069801,0.0257691716865816,0.478296804615108
"weather","5301","rsp_weather",TRUE,0.826760969498805,0.905166010554339,0.0672679045092838,0.120817463784188,0.543104218545376,0.709495023412248,0.703911244981665,0.830063846877207,0.240583691304502,0.443107929504271,0.0398219042967161,0.0887793815345809
"weather","5303","rsp_weather",TRUE,0.592526322370247,0.74413378799084,0.360717302390024,0.109873276702409,0.192344880844132,0.346488093534384,0.322632962064868,0.514654518941676,0.639596540711184,0.805561574149593,0.028719384135433,0.116537344533075
"weather","5308","rsp_weather",TRUE,0.80391177846761,0.891298330731582,0.0856453558504222,0.130623808642176,0.0673273473698247,0.533820052661915,0.126160302588064,0.69606603894285,0.127143311422266,0.909302661695358,0.0424195078856096,0.472052788230153
"weather","5439","rsp_weather",TRUE,0.505443453504295,0.671487796273914,0.3403,0.316295484705552,0.426599606590814,0.565948286810082,0.598064927860569,0.722818613794032,0.340044752235287,0.536318872386123,0.112772522552103,0.319406350788907
